Company,ADANI PORTS & SEZ,APOLLO HOSPITALS,ASIAN PAINTS,AXIS BANK,BAJAJ AUTO,BAJAJ FINANCE,BAJAJ FINSERV,BHARAT ELECTRONICS,BPCL,CIPLA,COAL INDIA,DR. REDDYS LAB,EICHER MOTORS,GRASIM,HCL TECHNOLOGIES,HDFC BANK,HDFC LIFE INSURANCE,HERO MOTOCORP,HINDALCO,HINDUSTAN UNILEVER,ICICI BANK,INDUSIND BANK,INFOSYS,ITC,JSW STEEL,KOTAK MAHINDRA BANK,L&T,M&M,MARUTI SUZUKI,NESTLE,NTPC,ONGC,POWER GRID,RELIANCE IND.,SBI,SBI LIFE INSURANCE,SHRIRAM FINANCE,SUN PHARMA,TATA MOTORS,TATA STEEL,TCS,TECH MAHINDRA,TITAN,TRENT,ULTRATECH CEMENT,WIPRO
COAL INDIA,0.9501133187448797,0.7921973010425074,-0.2483682543984614,0.670533781758889,0.8820233283600067,-0.35118577070291246,0.193288344355869,0.904960181427557,0.9553649711097731,0.9066777233550262,1.0,0.8515510896174308,0.8215487224981497,0.8662382194881546,0.5614948593589474,0.2603538023341737,0.21024457088220755,0.9049759363264677,0.7789439794004097,0.3474885824193813,0.8428900578766765,-0.451451725495552,0.614266605056508,0.38159928876322075,0.7644795267325389,-0.022074496546836523,0.6816714701800671,0.8553480577285854,0.8289623869990497,0.1940898195183641,0.9259630066876937,0.9524858019238611,0.962817392485414,0.8466597327738661,0.9186319321858895,0.6824271355705855,0.7997568803219213,0.8461647304795791,0.9073503908797785,0.7784567258792197,0.8060100242155059,0.7109946117248792,-0.07124685257509532,0.8139066058562078,0.7945645655446218,0.7580077119012133
DR. REDDYS LAB,0.8017196898022926,0.866760368608056,-0.030137100002224325,0.5673794986802996,0.8040596464616774,-0.3089852511232541,0.3495525818864513,0.7449540838190527,0.8543031438095453,0.8584435529887824,0.8515510896174308,1.0,0.6651593112915334,0.8420064159139056,0.7686796686959533,0.353598225725272,0.523826968228727,0.7577782790916682,0.6072651603319852,0.5403441560158023,0.8104942881856874,-0.5137406750393203,0.8290449671827727,0.5589125403387202,0.6778514500381129,0.15604712312598415,0.5554911946212671,0.741636401308047,0.6298627368934906,0.23248705103422432,0.8542956039329217,0.8908763277739281,0.8363610591177115,0.6972054919308601,0.7214428809617457,0.8508692183602916,0.8386446137689791,0.8830183332406718,0.7933652526434609,0.4567847595430514,0.899316864952018,0.8156452182342367,0.039048518665910026,0.8192653775533384,0.8081091645840125,0.8320439595250984
EICHER MOTORS,0.7723223216942848,0.6068244258611212,-0.030265892988157957,0.8131613574416279,0.8049111125030833,-0.033170285111697236,0.3370642338043524,0.9196196644096271,0.7489622994042089,0.7204445671795897,0.8215487224981497,0.6651593112915334,1.0,0.905745109978647,0.3465472420995288,0.5758303975034582,0.3380280137491423,0.8255111326377728,0.9051491415903744,0.4838587969269185,0.8705323716210772,-0.5350556397259044,0.4934907426786265,0.5481138287753676,0.874614900996102,0.06673336884758077,0.5250825181068676,0.9267609738403354,0.7990555445954123,0.06961093573037293,0.8456557021442227,0.7389294436345577,0.8872202707414921,0.5702069150684534,0.8286581561208166,0.6454910056746602,0.7747411391847527,0.6987253304042488,0.6587564444081264,0.7552854859242072,0.5920755384230523,0.7245585307782372,-0.29178859979016647,0.8271390222977482,0.7940531967345312,0.542712269874672
GRASIM,0.8457327080510998,0.7675799355929662,-0.03687326033043877,0.8204150324175375,0.8834203519750675,-0.07510706117181457,0.41838175941792416,0.9351752401442501,0.8227222321786571,0.8411225959730583,0.8662382194881546,0.8420064159139056,0.905745109978647,1.0,0.5924368069282413,0.5674246028444948,0.46066425824251883,0.8754909140072222,0.8762641486530052,0.5697254989107966,0.959656582559882,-0.5798800112650644,0.7082891759814951,0.6136568076078178,0.8913130046813138,0.17828217754007233,0.590612983820648,0.943710978672628,0.7661683238722483,0.1609688296607975,0.9168765262495038,0.8355783120836636,0.9383911867817571,0.6667468051405016,0.8461079434700766,0.7877113279998004,0.8985833472263761,0.8468143587695577,0.7303526485898731,0.6871113487081568,0.7584884719251741,0.8625586512466813,-0.1779447014615497,0.9122807504719102,0.9079937313787638,0.7574960045832011
HCL TECHNOLOGIES,0.5643376023125015,0.892210388344403,0.1742835460034426,0.3317403506890106,0.7010289382931653,-0.08971004718722247,0.607379264895095,0.4379054066398304,0.6581609939810052,0.7187647210842392,0.5614948593589474,0.7686796686959533,0.3465472420995288,0.5924368069282413,1.0,0.34600922882597246,0.6089245770188318,0.5852767114592359,0.4390754493797297,0.5422506604643521,0.6539865804599656,-0.42968701228466266,0.9118510915954078,0.5635572648324375,0.5787766814413013,0.38080298394786055,0.46267255992980466,0.5031565668126474,0.27554081475784237,0.15981377958304438,0.7015361275432644,0.5792778598697446,0.552564769676761,0.43535123078590693,0.3937817416624319,0.7991529915077196,0.7828595826372311,0.833538656828967,0.4693975388815694,0.13914055166218878,0.8176061431807959,0.8120404328801448,0.3722101784094044,0.739226522411117,0.6578514009712085,0.8597917936839697
HDFC BANK,0.2871806270117227,0.33977641212957516,0.5784415359560803,0.6585523469405549,0.4231379025709162,0.5096007885156905,0.5925622563526746,0.4988641684031775,0.19180912073193385,0.28768044036344287,0.2603538023341737,0.353598225725272,0.5758303975034582,0.5674246028444948,0.34600922882597246,1.0,0.6580201534124499,0.4030260955893021,0.6172751209641208,0.7042423517887985,0.5647478747924898,-0.26964598337508416,0.4806774012510992,0.7148496650577238,0.6957465430066407,0.6152150050643884,0.285923453721342,0.5771205190632098,0.15627423680368302,0.1415375818914802,0.48028616232922,0.1629019816654588,0.39374768807335786,0.02287877043366557,0.232788027250171,0.5389221916950402,0.5804104739461167,0.3591948763009673,0.0464340350809149,0.18408132391630166,0.2780272276858441,0.6382619887296935,-0.05660358043821502,0.577755471314648,0.6692703888512306,0.34162283052274167
HDFC LIFE INSURANCE,0.1463888492176442,0.48551906203739736,0.587746181139097,0.24140711910770613,0.3802424801891289,0.2917574267312464,0.7058626970263494,0.26006333774196555,0.2510072570326015,0.3443149027383006,0.21024457088220755,0.523826968228727,0.3380280137491423,0.46066425824251883,0.6089245770188318,0.6580201534124499,1.0,0.2238189786593075,0.3148894081604985,0.7693249709905782,0.45316089711188257,-0.4194884092389604,0.7105339015126759,0.827642253883018,0.4745634170147408,0.55116445863311,0.1357506954605205,0.3894786754342075,0.08471772268852949,-0.0030495088981295883,0.414467498638587,0.2427966782944727,0.2615196058106667,-0.10039786237012283,0.040733614975267604,0.7838831126725069,0.58781437931054,0.5108786389325337,0.07161776727466633,-0.17959555422917864,0.4742628835726755,0.6847239873479979,0.1184799685221481,0.5831631013817545,0.4918590593343294,0.3451007985768657
HERO MOTOCORP,0.9019520005106253,0.7843192366474507,-0.10741771321535402,0.795978772616637,0.9165412159966372,-0.13867158509884467,0.33200563829827684,0.8978895045576416,0.8658759585286936,0.9051367797023097,0.9049759363264677,0.7577782790916682,0.8255111326377728,0.8754909140072222,0.5852767114592359,0.4030260955893021,0.2238189786593075,1.0,0.8367173981226073,0.477674436415259,0.8750826055959436,-0.38613148672523556,0.650358532593185,0.4427940414303485,0.8251323169298797,0.12820425241965366,0.6812797808714162,0.8925374426085501,0.7446811135202112,0.2859836673155379,0.8938603564436604,0.8200075539538715,0.9310032513454641,0.7903086932946329,0.8456946879508149,0.6847742122113619,0.8409995644166779,0.8110208087394217,0.7817577255552245,0.7639229532013427,0.7608381858550087,0.7701333864418703,0.0027362126101355935,0.8394623650209705,0.8762913525280557,0.7858613684617716
HINDALCO,0.7503091410831753,0.6337720699852191,0.010085985080983814,0.7946112087239662,0.8315009110475564,0.07310687283533802,0.4377669696886232,0.882873241273358,0.7055207030281474,0.7172656750799884,0.7789439794004097,0.6072651603319852,0.9051491415903744,0.8762641486530052,0.4390754493797297,0.6172751209641208,0.3148894081604985,0.8367173981226073,1.0,0.4893309636493064,0.8575431846423673,-0.47487622433809373,0.5333202090102398,0.5640358303212758,0.9379854210730758,0.1998536719446758,0.5617028201155618,0.9064445953714411,0.701823768059928,0.1172521079721989,0.8576765439050875,0.6582810208878165,0.8434325213483709,0.5374164924665997,0.7552296216585592,0.5996188654977849,0.8016200465647363,0.7160088198747157,0.5732178286757623,0.7419652080230126,0.5552219676202222,0.7633106582193138,-0.1914348618783978,0.8467608718232326,0.8078201965491811,0.5968505115924337
HINDUSTAN UNILEVER,0.26653223704281676,0.4932615695999516,0.6670156065230861,0.5233676139776176,0.4865145312985628,0.33674549590575215,0.6543186900958473,0.43556505655066835,0.30797653144326914,0.4758392790326405,0.3474885824193813,0.5403441560158023,0.4838587969269185,0.5697254989107966,0.5422506604643521,0.7042423517887985,0.7693249709905782,0.477674436415259,0.4893309636493064,1.0,0.526738764209268,-0.2959550431346239,0.7742696296565287,0.8866819585379868,0.5789633986849747,0.5746110049184353,0.16189060929835475,0.5531664308028249,0.12965114914890224,0.2377608543074503,0.4917114876839513,0.3234962373771608,0.42611411469813687,0.05961116442783493,0.15418414467014724,0.7881006651013316,0.6651653804790407,0.48870774740587164,0.12536310438452014,-0.033116984012964625,0.5335306202954521,0.7515985085056079,0.05709061121254922,0.6427485625041659,0.6908820510206125,0.4181569604905691
ICICI BANK,0.8401406185321548,0.8075221268394596,-0.05766205187506144,0.8081359829413045,0.9233430118319593,-0.06363433548012762,0.4936272616623522,0.8916750335458531,0.8368702192469155,0.8560967900197267,0.8428900578766765,0.8104942881856874,0.8705323716210772,0.959656582559882,0.6539865804599656,0.5647478747924898,0.45316089711188257,0.8750826055959436,0.8575431846423673,0.526738764209268,1.0,-0.6069206968546965,0.707418477347859,0.5881476004752395,0.8986680132431948,0.17767973906266438,0.6168263216758907,0.9242549097230098,0.7561616481594947,0.1586698743986007,0.932399650674775,0.7984223961095066,0.9256286866923954,0.653541139026704,0.8369673608968319,0.791435059394103,0.9268041421529994,0.8920755424699609,0.703196879676884,0.6715034011668575,0.751665054793212,0.8625707731788826,-0.10822575451975104,0.9352903819304036,0.8714560661304926,0.7921074421105013
INDUSIND BANK,-0.36009362635726394,-0.49996013216556423,0.1974542432341458,-0.30180254514887045,-0.48018777361365333,0.3163643846360183,-0.1913277215445292,-0.4948151967863307,-0.47477941337114354,-0.4516717491890849,-0.451451725495552,-0.5137406750393203,-0.5350556397259044,-0.5798800112650644,-0.42968701228466266,-0.26964598337508416,-0.4194884092389604,-0.38613148672523556,-0.47487622433809373,-0.2959550431346239,-0.6069206968546965,1.0,-0.47880241045547545,-0.3863422167032789,-0.4960151991428235,0.14235388425377288,0.03229247907412748,-0.5827249404178338,-0.385861508101989,0.46329301492394037,-0.528652936995386,-0.44422625114153214,-0.5246213735249592,-0.12452858597746029,-0.45238958572168464,-0.47050974212013613,-0.5615188255713368,-0.6079926898141363,-0.2649300955232906,-0.2236090723126985,-0.3760533801294819,-0.6327697506935057,0.4986294561714742,-0.6554017744883358,-0.4110377190804017,-0.4154620378048461
INFOSYS,0.5737223280247157,0.8449640607510404,0.31561249586980333,0.4809539488612542,0.6991296596683608,-0.04733343694241731,0.6050591785735576,0.5514041135327316,0.646476252365596,0.735383480224961,0.614266605056508,0.8290449671827727,0.4934907426786265,0.7082891759814951,0.9118510915954078,0.4806774012510992,0.7105339015126759,0.650358532593185,0.5333202090102398,0.7742696296565287,0.707418477347859,-0.47880241045547545,1.0,0.760723760192006,0.643017665007785,0.4360685018122704,0.4011399079897625,0.619738256759986,0.2862768508482849,0.15117051115261715,0.7317911539644744,0.6418400008487872,0.6305448098621358,0.40312278504157784,0.40923909761650795,0.8973019539074844,0.8367384134388326,0.8044610911948319,0.4672860385377269,0.12107902533766914,0.8579633466818775,0.9156233187876734,0.20314812750246933,0.798397965811997,0.7880989479957407,0.8031172073493771
ITC,0.3266854019436073,0.5484507350372195,0.6267168777977495,0.4620207012576733,0.5305678647567006,0.34620038229975636,0.7022971243265723,0.4623700989467202,0.3534517055755196,0.46910707562514475,0.38159928876322075,0.5589125403387202,0.5481138287753676,0.6136568076078178,0.5635572648324375,0.7148496650577238,0.827642253883018,0.4427940414303485,0.5640358303212758,0.8866819585379868,0.5881476004752395,-0.3863422167032789,0.760723760192006,1.0,0.6312585821007809,0.5162467698248577,0.2895922921958699,0.5474334438813104,0.20098303283292374,0.1333293103266624,0.5775773463733299,0.3940036052622554,0.44954346582223786,0.06155222116045473,0.1917638954340915,0.8100806684161318,0.6954645223848623,0.5670287943963996,0.20266496597984976,0.005538970925779107,0.568497779471545,0.781206103931047,0.10469957582593267,0.6817421242543155,0.668341206624706,0.3964362429980277
JSW STEEL,0.7431932209258281,0.7283292126327234,0.12574348517766265,0.7914810663908821,0.8720477523618284,0.13618313133994814,0.6010664565008824,0.8441862105520603,0.7400519957715497,0.7597854092584182,0.7644795267325389,0.6778514500381129,0.874614900996102,0.8913130046813138,0.5787766814413013,0.6957465430066407,0.4745634170147408,0.8251323169298797,0.9379854210730758,0.5789633986849747,0.8986680132431948,-0.4960151991428235,0.643017665007785,0.6312585821007809,1.0,0.3130347345526672,0.580112963172824,0.911020426323085,0.6805082600458918,0.18345037011690773,0.8947392480899159,0.6478687216898852,0.8395052555627321,0.505285054550897,0.7227020545960472,0.7226588271115839,0.8764750160916914,0.7953048353991017,0.5483533707934131,0.6771738639283189,0.6252910630089554,0.831675543066245,-0.051510172503239283,0.9057527456568821,0.8575162712500131,0.6818867234172695
KOTAK MAHINDRA BANK,0.025958140517652883,0.24621295082793282,0.6244005382172797,0.24793398356657306,0.13608381268049854,0.527288523816905,0.5404469518607335,0.08732626001702488,-0.06171873417854996,0.06747503825340814,-0.022074496546836523,0.15604712312598415,0.06673336884758077,0.17828217754007233,0.38080298394786055,0.6152150050643884,0.55116445863311,0.12820425241965366,0.1998536719446758,0.5746110049184353,0.17767973906266438,0.14235388425377288,0.4360685018122704,0.5162467698248577,0.3130347345526672,1.0,0.22297222361120927,0.1383354911995381,-0.1720812562599673,0.36917910462938874,0.15514680157248079,-0.04770907206810559,0.02348437450697721,-0.047028459960821535,-0.16584091335017262,0.36953446899731945,0.2847014834060309,0.12782381427164974,-0.144044405595786,-0.1750305200351441,0.18728036627622896,0.35627109544551416,0.33053338032824153,0.21238321658614395,0.4019365624140744,0.25122479820137156
L&T,0.7950974935408965,0.5897042701337657,-0.08391907413597945,0.5391545780064819,0.6555821649084476,-0.043858478298918806,0.24118452448842642,0.6528569833895135,0.6581696271416838,0.6416443478765249,0.6816714701800671,0.5554911946212671,0.5250825181068676,0.590612983820648,0.46267255992980466,0.285923453721342,0.1357506954605205,0.6812797808714162,0.5617028201155618,0.16189060929835475,0.6168263216758907,0.03229247907412748,0.4011399079897625,0.2895922921958699,0.580112963172824,0.22297222361120927,1.0,0.531068238953957,0.5750351171479012,0.4460171173824653,0.700532435034326,0.6616350737294503,0.6494934089167704,0.7599803703215826,0.6541359622280529,0.4689938231348749,0.5425449998752851,0.5809951243623409,0.7351868387004261,0.6470285741073842,0.617604850616027,0.4421117679297,0.39183217776620305,0.49106712488987125,0.6436059725137807,0.6215892761186245
M&M,0.8123888279297825,0.7055616058992806,-0.08323944624998701,0.8143718245346737,0.8917442216972904,-0.04966890043190253,0.38736509362201205,0.945717334673937,0.7997506639751958,0.8419753354462269,0.8553480577285854,0.741636401308047,0.9267609738403354,0.943710978672628,0.5031565668126474,0.5771205190632098,0.3894786754342075,0.8925374426085501,0.9064445953714411,0.5531664308028249,0.9242549097230098,-0.5827249404178338,0.619738256759986,0.5474334438813104,0.911020426323085,0.1383354911995381,0.531068238953957,1.0,0.7934545008865731,0.11375356257330616,0.895094977459357,0.7658478671660899,0.9296421682316605,0.5955180011133715,0.8408528831262123,0.7128266844171327,0.8788130669010916,0.8070252202679928,0.6654206032258583,0.748095200978096,0.6425872259640948,0.8180138407671173,-0.2550895243220115,0.9161259117310782,0.8629277385263825,0.6666225321358116
MARUTI SUZUKI,0.7841623401091771,0.5729216384940421,-0.4059749194095738,0.5537509278209264,0.8042487804082447,-0.21942477132356578,0.17645616014182838,0.7919975127538917,0.8209318018961503,0.7496236013192746,0.8289623869990497,0.6298627368934906,0.7990555445954123,0.7661683238722483,0.27554081475784237,0.15627423680368302,0.08471772268852949,0.7446811135202112,0.701823768059928,0.12965114914890224,0.7561616481594947,-0.385861508101989,0.2862768508482849,0.20098303283292374,0.6805082600458918,-0.1720812562599673,0.5750351171479012,0.7934545008865731,1.0,0.18445608859506366,0.7674171686454999,0.7914745766827275,0.8373214078894263,0.7109812865165456,0.8793996214345537,0.5054638492336739,0.637999252718478,0.7068921227177716,0.8071589143643215,0.8660845243663221,0.5409294517600075,0.4547241112676036,-0.1755920142546223,0.6806069703202238,0.5574993293976555,0.48433226139618146
NESTLE,0.25634128996764854,0.18442966054954235,0.2217626260688869,0.288517216681327,0.25894858901164947,0.23437120096349698,0.23767276692870576,0.14166224232625751,0.17695081475473196,0.26247256581291306,0.1940898195183641,0.23248705103422432,0.06961093573037293,0.1609688296607975,0.15981377958304438,0.1415375818914802,-0.0030495088981295883,0.2859836673155379,0.1172521079721989,0.2377608543074503,0.1586698743986007,0.46329301492394037,0.15117051115261715,0.1333293103266624,0.18345037011690773,0.36917910462938874,0.4460171173824653,0.11375356257330616,0.18445608859506366,1.0,0.1890193646558156,0.1940972183238681,0.1890144826389437,0.3994889787116691,0.15009276078651432,0.2306160930438671,0.1600271305280547,0.13654212244989308,0.28543951731695355,0.22294365233372254,0.28942233843424914,0.041306031685391195,0.5094104246723913,0.08164110794617578,0.3105147587530923,0.2976178175633549
NTPC,0.9095179029753844,0.8702704165884775,-0.060138541065256665,0.7047191620931326,0.944125544146417,-0.15895485928192024,0.45885698069407105,0.8837834621075268,0.9225524573134918,0.8954018501544133,0.9259630066876937,0.8542956039329217,0.8456557021442227,0.9168765262495038,0.7015361275432644,0.48028616232922,0.414467498638587,0.8938603564436604,0.8576765439050875,0.4917114876839513,0.932399650674775,-0.528652936995386,0.7317911539644744,0.5775773463733299,0.8947392480899159,0.15514680157248079,0.700532435034326,0.895094977459357,0.7674171686454999,0.1890193646558156,1.0,0.8715437515669535,0.9478745156299504,0.7146997977115199,0.8472261131548129,0.7951370234107699,0.9121036645052409,0.9302829036617327,0.7935325843712668,0.6971475524295254,0.8181551299153423,0.8414448396044003,0.02463963163571184,0.9190367012780725,0.8650119075255486,0.8053920083317316
